"id","group","geonameid","name","asciiname","alternatenames","feature_class","feature_code","longitude","latitude"
1,1,1529079,"wutonggoU","Wutonggou","Khuduk Utungou,Utungou Well,Wu-t'ung-kou,Wu-t’ung-kou,Wutonggou,wu tong gou,梧桐沟","P","PPL",98.5929870787841,40.6407983083624
10,2,1529579,"borulshaN","Bor Ul Shan","Bor Ul Shan,Pao-erh-wu-la Shan","T","MTS",98.5808319878451,41.4214667767731
1000,5,2037144,"gunholoI","Gun Holoi","Gun Holoi,Kung-ho-lai","P","PPL",123.116852826463,42.8588070748903
1001,2,2037147,"guliyashaN","Guliya Shan","Guliya Shan,Ku-li-ya Shan,gu li ya shan,古利牙山","T","MT",122.381083383031,49.7588121854174
1003,5,2037155,"guilergoL","Guiler Gol","Guiler Gol,Kuei-erh Ho,Kuei-liu Ho,Kuiliu Ho,Kuireru Ho","H","STM",122.069890103815,45.9920835965777
1005,2,2037177,"guantunpU","Guantunpu","Guantunpu,Kuan-t'un-p'u,Kuan-t’un-p’u","P","PPL",113.362521614318,40.3361206053902
1006,7,2037196,"guangxingyuaN","Guangxingyuan","Guangxingyuan,Kuang-hsing-yuan,Kuang-hsing-yüan","P","PPL",117.507407298475,42.8530181956557
1007,7,2037204,"guangdegonG","Guangdegong","Guangdegong,Kuang-te-kung,Kuang-te-kung-ts'un,Kuang-te-kung-ts’un","P","PPL",118.507419096641,42.8045162011829
1008,2,2037205,"guandongpuzI","Guandongpuzi","Guandongpuzi,Kuan-tung-p'u-tzu,Kuan-tung-p’u-tzu","P","PPL",118.574232888644,42.6879867539608
1012,2,2037224,"gongyefU","Gongyefu","Gongyefu,K'o-la-ch'in-yu-ch'i,Kung-yeh-fu,K’o-la-ch’in-yu-ch’i","P","PPL",118.508596814965,41.8548839176775
1013,4,2037232,"gongmiaO","Gongmiao","Gongmiao,Gongmiao Xiang,Gongmiaozi,Kung-miao,Kung-miao-tzu","P","PPL",108.945316039701,40.5488403732031
1014,1,2037233,"gonglamA","Gonglama","Gonglama,Kung-la-ma","P","PPL",111.827480240136,40.5785537161504
1015,6,2037234,"gongjitanG","Gongjitang","","P","PPL",112.277415294539,41.7584289817701
1016,12,2037242,"gaolibaN","Gaoliban","Gaoliban,Gaoliban Zhen,Golin Baixing,K'o-erh-ch'in-yu-chung-ch'i,K'o-erh-ch'in-yu-i-chung-ch'i,Kanlipan,Kao-li-pan,Kao-li-pan-ts'un,Kao-li-pan-ts’un,Kao-lin-pai-hsing,K’o-erh-ch’in-yu-chung-ch’i,K’o-erh-ch’in-yu-i-chung-ch’i,gao li ban,gao li ban zhen,高力板,高力板镇","P","PPLA4",121.771439023009,44.8419182954464
1017,5,2037247,"gersenG","Gerseng","","P","PPL",120.056876833349,43.2066270477736
1018,7,2037248,"gerqulU","Ger Qulu","","P","PPL",120.038153783076,44.7894630312488
1020,6,2037250,"genihE","Geni He","Geni He,Genikhe,Ko-ni Ho","H","STM",124.166468359665,48.494645659879
1023,4,2037258,"gegenmiaO","Gegenmiao","Gegenmiao,Ko-ken-miao","P","PPL",122.303391016989,45.8757729444603
1024,3,2037260,"gaxunsuM","Gaxun Sum","","P","PPL",110.009585332969,41.9415891094458
1025,5,2037261,"gaxunnuR","Gaxun Nur","Chu-yen Hai,Chü-yen Hai,Gashiun Nor,Gashun Nor,Gashuun Nuur,Gaxun Nur,Gushien,Hsi Hai-tzu,Ka-shun Hu,Ka-shun-no-erh,Lake Gashun-nur","H","LKN",100.647541035307,42.3471632443299
1027,4,2037266,"gaotouyaO","Gaotouyao","Gaotouyao,Kao-t'ou-yao,Kao-t’ou-yao","P","PPL",109.578592412592,39.9752177314607
1028,4,2037278,"gaomiaO","Gaomiao","Gaomiao,Gaomiao Xiang,Gaomiaozi,Kao-miao","P","PPL",113.997244123154,40.7452429801307
1029,6,2037280,"gaolintuN","Gaolintun","","P","PPL",122.506113034447,43.8432122902665
103,5,1798396,"qagantolgoI","Qagan Tolgoi","","P","PPL",108.014224364988,38.1404628685632
1030,6,2037298,"gaojiacuN","Gaojiacun","","P","PPL",109.777179022461,40.946684690562
1031,5,2037304,"ganyuaN","Ganyuan","","P","PPL",122.862295675203,51.126188038139
1032,5,2037309,"ganpaozI","Ganpaozi","Ganpaozi,Kan-p'ao-tzu,Kan-p’ao-tzu","P","PPL",117.156967658792,43.2190333633482
1033,3,2037312,"ganjursuM","Ganjur Sum","Ganjur Sum,Kan-chu-miao","P","PPL",114.621962496868,44.7146869329319
